Designator,Footprint,Quantity,Value,LCSC Part #
"Audio1, Audio2",AUDIO-TH_PJ-603A_1,2,PJ-603A,C309273
"C1, C17, C18, C4",0603,4,100n,
"C10, C13, C5",0603,3,1n,
C12,0603,1,160p,
C16,0603,1,470p,
"C2, C6",0603,2,100p,
C3,CP_Elec_6.3x7.7,1,100u,
"C7, C8",CP_Elec_5x5.4,2,10u,
D1,D_SOD-323,1,1N5819WS,
D2,0603,1,LED,
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,IN,
"J2, J3",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,OUT,
J4,BarrelJack_Horizontal,1,DC_Jack,
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,9V,
R1,0603,1,8k2,
"R10, R12, R5",0603,3,22k,
"R11, R15, R7",0603,3,47k,
"R13, R8",0603,2,10k,
R2,0603,1,1M,
R3,0603,1,3k3,
R4,0603,1,33k,
R6,0603,1,27k,
R9,0603,1,15k,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.0mm,6,TestPoint,
"U1, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,TL072,
