Designator,Mid X,Mid Y,Rotation,Layer
Audio1,97.95,-64.4,90.0,top
Audio2,136.25,-64.4,270.0,top
C1,104.6,-77.85,0.0,top
C10,121.825,-74.85,0.0,top
C12,121.825,-77.85,180.0,top
C13,134.075,-74.85,180.0,top
C16,134.075,-77.82,0.0,top
C17,112.825,-72.1,180.0,top
C18,130.325,-72.1,180.0,top
C2,104.575,-74.85,0.0,top
C3,111.75,-51.7,270.0,top
C4,111.75,-58.2,270.0,top
C5,116.575,-74.85,180.0,top
C6,116.575,-77.85,0.0,top
C7,124.5,-51.7,270.0,top
C8,118.5,-51.7,270.0,top
D1,107.0,-49.45,90.0,top
D2,91.75,-45.5,0.0,top
J1,99.325,-75.6,90.0,top
J2,128.325,-81.65,0.0,top
J3,109.8,-81.6,0.0,top
J4,97.75,-53.5,0.0,top
J5,106.25,-44.25,0.0,top
R1,104.575,-76.35,180.0,top
R10,121.825,-73.35,180.0,top
R11,121.825,-76.35,0.0,top
R12,134.075,-73.35,0.0,top
R13,91.75,-47.0,0.0,top
R15,134.075,-76.35,180.0,top
R2,104.6,-79.35,180.0,top
R3,104.575,-71.85,180.0,top
R4,104.575,-73.35,0.0,top
R5,116.575,-73.35,0.0,top
R6,115.425,-56.95,0.0,top
R7,116.575,-76.35,180.0,top
R8,121.0,-56.95,0.0,top
R9,127.0,-56.95,0.0,top
U1,110.575,-75.6,270.0,top
U3,128.075,-75.6,270.0,top
