Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x7.7,1,220u,
"C10, C14, C16, C22, C24, C26",0603,6,1n,
"C11, C2, C20, C28, C31, C32, C33, C37, C4, C5, C9",0603,11,100n,
"C12, C7",CP_Elec_5x5.4,2,22u,
"C13, C21, C23, C39",0603,4,100p,
C15,0603,1,150p,
"C17, C27, C8",0603,3,470p,
C18,0603,1,33n,
"C19, C29",0603,2,22n,
C25,0603,1,160p,
"C3, C30",CP_Elec_5x5.4,2,10u,
"C34, C35, C36, C38",0603,4,10u,
C6,0603,1,10n,
D1,D_SOD-323,1,B5819WS,
"D2, D5",0603,2,CTL1,
J1,BarrelJack_Horizontal,1,DC_Jack,
J3,PinHeader_1x02_P1.27mm_Vertical,1,SW,
J4,PinHeader_1x02_P1.27mm_Vertical,1,IN,
J5,PinHeader_1x02_P1.27mm_Vertical,1,OUT,
J9,PinHeader_1x02_P1.27mm_Vertical,1,9V,
MODE,SW_DIP_SPSTx02_Slide_KingTek_DSHP02TS_W7.62mm_P1.27mm,1,MODE,
POT,PinHeader_1x03_P1.27mm_Vertical,1,Pot1,
POT2,PinHeader_1x03_P1.27mm_Vertical,1,Pot2,
"R1, R30, R4",0603,3,330,
"R11, R12, R2, R3, R35, R40, R6, R7",0603,8,10k,
R13,0603,1,4k7,
"R14, R17, R19, R25, R27, R29, R34, R37",0603,8,47k,
"R15, R38",0603,2,150k,
"R16, R18, R24, R26, R28",0603,5,22k,
R20,0603,1,1M,
R21,0603,1,33k,
"R22, R9",0603,2,3k3,
"R31, R32",0603,2,0,
R39,0603,1,1k,
"R41, R42",0603,2,33,
R5,0603,1,15k,
"TP1, TP10, TP4",TestPoint_Pad_D1.0mm,3,TestPoint,
TP6,TestPoint_Pad_D1.0mm,1,Vref,
TP7,TestPoint_Pad_D1.0mm,1,2V5,
"U1, U3, U6, U8",SOIC-8_3.9x4.9mm_P1.27mm,4,TL072,
U2,SOT-89-3,1,L78L05_SOT89,
U9,SOP-16_3.9x9.9mm_P1.27mm,1,CH32V003AxMx,
X1,PinHeader_1x10_P1.27mm_Vertical,1,~,
