Designator,Mid X,Mid Y,Rotation,Layer
C1,160.3,-60.1,270.0,top
C10,157.0,-96.0,90.0,top
C11,141.9,-88.975,90.0,top
C12,137.8,-118.15,0.0,top
C13,161.4,-96.0,270.0,top
C14,158.0,-84.7,270.0,top
C15,161.2,-84.7,90.0,top
C16,147.86,-96.2,90.0,top
C17,151.1,-96.2,270.0,top
C18,145.5,-92.1,90.0,top
C19,146.8,-84.4,270.0,top
C2,157.4,-69.0,270.0,top
C20,137.4,-81.1,270.0,top
C21,139.7,-81.9,0.0,top
C22,139.1,-92.5,90.0,top
C23,136.1,-92.5,270.0,top
C24,140.7,-97.2,270.0,top
C25,137.5,-97.2,90.0,top
C26,138.7,-108.4,90.0,top
C27,135.7,-108.4,270.0,top
C28,141.8,-104.925,90.0,top
C29,142.1,-78.1,90.0,top
C3,138.4,-60.1,270.0,top
C30,151.3,-73.8,0.0,top
C31,145.5,-88.2,270.0,top
C32,142.65,-121.3,0.0,top
C33,161.3,-78.75,270.0,top
C34,142.65,-119.9,0.0,top
C35,163.1,-78.75,270.0,top
C36,136.15,-66.1,270.0,top
C37,134.65,-66.1,270.0,top
C38,155.9,-69.0,270.0,top
C39,149.2,-84.35,180.0,top
C4,144.4,-112.5,90.0,top
C5,155.8,-88.2,270.0,top
C6,162.5,-101.1,270.0,top
C7,159.7,-73.8,0.0,top
C8,138.5,-111.1,180.0,top
C9,138.5,-112.6,180.0,top
D1,155.4,-60.6,90.0,top
D2,162.4,-104.5,0.0,top
D5,142.8,-54.5,0.0,top
J1,148.4425,-61.3,270.0,top
J3,162.3,-115.8,180.0,top
J4,135.98,-70.7,90.0,top
J5,144.93,-70.7,270.0,top
J9,156.45,-55.25,90.0,top
MODE,157.9,-112.2,90.0,top
POT,146.6,-117.6,270.0,top
POT2,146.625,-120.7,270.0,top
R1,162.4,-105.9,0.0,top
R11,159.5,-118.5,270.0,top
R12,157.9,-118.5,270.0,top
R13,156.2,-101.1,270.0,top
R14,158.4,-96.0,90.0,top
R15,159.9,-96.0,270.0,top
R16,156.4,-84.7,90.0,top
R17,159.6,-84.7,270.0,top
R18,146.26,-96.2,270.0,top
R19,149.5,-96.2,90.0,top
R2,139.2,-66.1,90.0,top
R20,135.9,-81.1,90.0,top
R21,139.7,-80.4,0.0,top
R22,139.7,-78.9,180.0,top
R24,140.6,-92.5,270.0,top
R25,137.6,-92.5,90.0,top
R26,135.9,-97.2,90.0,top
R27,139.1,-97.2,270.0,top
R28,140.2,-108.4,270.0,top
R29,137.2,-108.4,90.0,top
R3,141.5,-115.575,270.0,top
R30,142.8,-55.9,0.0,top
R31,154.3,-117.6,90.0,top
R32,152.8,-117.6,90.0,top
R34,149.2,-81.4,0.0,top
R35,151.9,-84.6,270.0,top
R37,149.2,-85.85,180.0,top
R38,151.5,-77.8,180.0,top
R39,148.4,-77.8,180.0,top
R4,140.48,-70.8,90.0,top
R40,156.3,-118.5,90.0,top
R41,155.15,-107.025,270.0,top
R42,153.6,-107.0,270.0,top
R5,138.5,-114.5,180.0,top
R6,137.66,-66.1,90.0,top
R7,143.0,-115.575,90.0,top
R9,159.3,-101.1,90.0,top
U1,159.3,-90.4,0.0,top
U2,160.7625,-68.6,90.0,top
U3,149.1,-90.4,0.0,top
U6,138.4,-86.9,180.0,top
U8,138.3,-102.8,180.0,top
U9,148.9,-110.0,90.0,top
X1,139.975,-73.9,270.0,top
