Designator,Footprint,Quantity,Value,LCSC Part #
Audio1,AUDIO-TH_PJ-603A_1,1,PJ-603A,C309273
C1,0603,1,15n,
"C10, C11, C5",0603,3,100n,
"C12, C2, C8",0603,3,1n,
C13,0603,1,470p,
C14,0603,1,33n,
C15,0603,1,22n,
C16,CP_Elec_5x5.4,1,10u,
C4,0603,1,100p,
C9,0603,1,160p,
D1,D_SOD-123,1,B5819WS,
D2,0603,1,LED,
J1,PinHeader_1x02_P2.54mm_Vertical,1,IN1,
"J2, J3",PinHeader_1x02_P2.54mm_Vertical,2,OUT,
J4,BarrelJack_Horizontal,1,DC_Jack,
J5,PinHeader_1x02_P2.54mm_Vertical,1,9V,
J6,PinHeader_1x02_P2.54mm_Vertical,1,IN2,
J7,PinHeader_1x02_P2.54mm_Vertical,1,2V5,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Vref,
"R11, R13",0603,2,22k,
"R12, R14, R16, R6",0603,4,47k,
"R17, R5",0603,2,10k,
R18,0603,1,3k3,
R19,0603,1,6k8,
R2,0603,1,2M2,
"R20, R3, R7",0603,3,150k,
R21,0603,1,1k,
R4,0603,1,4k7,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Plated_Hole_D2.0mm,6,TestPoint,
"U1, U2",SOIC-8_3.9x4.9mm_P1.27mm,2,TL072,
