Designator,Mid X,Mid Y,Rotation,Layer
Audio1,131.85,-44.4,270.0,top
C1,82.1,-59.6,0.0,top
C10,90.6,-71.9,0.0,top
C11,108.2,-72.3,0.0,top
C12,104.425,-68.0,0.0,top
C13,104.425,-71.2,180.0,top
C14,110.6,-65.1,0.0,top
C15,116.875,-66.3,180.0,top
C16,116.4,-58.8,270.0,top
C2,86.9,-65.9,0.0,top
C4,86.9,-69.1,180.0,top
C5,84.0,-44.3,270.0,top
C8,98.9,-67.9,180.0,top
C9,98.9,-71.1,0.0,top
D1,72.3,-40.315,180.0,top
D2,73.1,-36.415,180.0,top
J1,75.2,-60.935,0.0,top
J2,105.6,-56.1,270.0,top
J3,127.1,-68.6,90.0,top
J4,70.6,-48.0575,0.0,top
J5,65.6,-38.015,180.0,top
J6,75.2,-68.135,0.0,top
J7,106.2,-47.2,90.0,top
J8,93.875,-48.8,90.0,top
R11,98.9,-66.2,0.0,top
R12,98.9,-69.5,180.0,top
R13,104.425,-66.4,0.0,top
R14,104.425,-69.6,0.0,top
R16,119.375,-68.9,270.0,top
R17,116.775,-71.3,180.0,top
R18,117.675,-68.9,90.0,top
R19,116.0,-68.9,90.0,top
R2,79.0,-59.6,0.0,top
R20,111.7,-57.4,90.0,top
R21,110.0,-57.4,270.0,top
R3,79.0,-61.1,0.0,top
R4,82.1,-61.1,0.0,top
R5,73.1,-37.915,180.0,top
R6,86.9,-67.5,0.0,top
R7,86.9,-70.7,180.0,top
U1,92.8,-68.4,270.0,top
U2,110.4,-68.8,270.0,top
