Second,CH1,CH2
-1.400000E-07,-2.000004E-02,-1.000000E-02
-1.380000E-07,-2.000004E-02,-1.000000E-02
-1.360000E-07,-2.000004E-02,-1.000000E-02
-1.340000E-07,-2.000004E-02,-1.000000E-02
-1.320000E-07,-2.000004E-02,-1.000000E-02
-1.300000E-07,-2.000004E-02,-7.999999E-03
-1.280000E-07,-6.000012E-02,-7.999999E-03
-1.260000E-07,-6.000012E-02,-7.999999E-03
-1.240000E-07,-6.000012E-02,-7.999999E-03
-1.220000E-07,-6.000012E-02,-7.999999E-03
-1.200000E-07,-6.000012E-02,-7.999999E-03
-1.180000E-07,-6.000012E-02,-6.000000E-03
-1.160000E-07,-6.000012E-02,-6.000000E-03
-1.140000E-07,-6.000012E-02,-6.000000E-03
-1.120000E-07,-6.000012E-02,-6.000000E-03
-1.100000E-07,-2.000004E-02,-4.000000E-03
-1.080000E-07,-6.000012E-02,-6.000000E-03
-1.060000E-07,-6.000012E-02,-6.000000E-03
-1.040000E-07,-6.000012E-02,-6.000000E-03
-1.020000E-07,-6.000012E-02,-6.000000E-03
-1.000000E-07,-6.000012E-02,-6.000000E-03
-9.800000E-08,-6.000012E-02,-7.999999E-03
-9.600000E-08,-6.000012E-02,-7.999999E-03
-9.400000E-08,-6.000012E-02,-7.999999E-03
-9.200000E-08,-6.000012E-02,-7.999999E-03
-9.000000E-08,-2.000004E-02,-7.999999E-03
-8.800000E-08,-2.000004E-02,-1.000000E-02
-8.600000E-08,-2.000004E-02,-1.000000E-02
-8.400000E-08,-2.000004E-02,-1.000000E-02
-8.200000E-08,-2.000004E-02,-1.200000E-02
-8.000000E-08,-2.000004E-02,-1.200000E-02
-7.800000E-08,-2.000004E-02,-1.200000E-02
-7.600000E-08,-2.000004E-02,-1.000000E-02
-7.400000E-08,-2.000004E-02,-1.000000E-02
-7.200000E-08,-2.000004E-02,-1.000000E-02
-7.000000E-08,+2.000004E-02,-7.999999E-03
-6.800000E-08,-2.000004E-02,-7.999999E-03
-6.600000E-08,-2.000004E-02,-7.999999E-03
-6.400000E-08,-2.000004E-02,-7.999999E-03
-6.200000E-08,-2.000004E-02,-7.999999E-03
-6.000000E-08,-2.000004E-02,-6.000000E-03
-5.800000E-08,-2.000004E-02,-6.000000E-03
-5.600000E-08,-2.000004E-02,-6.000000E-03
-5.400000E-08,-2.000004E-02,-6.000000E-03
-5.200000E-08,-2.000004E-02,-6.000000E-03
